name1,name2,size,repetition,dependent_variable,similarity_threshold
cmake,properties,small,0,MCC,0.001
properties,brainfuck,small,0,MCC,0.25
cmake,url,small,0,MCC,0.5
url,brainfuck,small,0,MCC,0.75
lcc,brainfuck,small,0,MCC,1.0
useragent,inf,small,0,HAL,0.001
csv,properties,small,0,HAL,0.25
properties,url,small,0,HAL,0.5
useragent,brainfuck,small,0,HAL,0.75
useragent,quakemap,small,0,HAL,1.0
csv,pdn,small,1,MCC,0.001
properties,quakemap,small,1,MCC,0.25
brainfuck,sexpression,small,1,MCC,0.5
cmake,brainfuck,small,1,MCC,0.75
inf,url,small,1,MCC,1.0
url,sexpression,small,1,HAL,0.001
useragent,pdn,small,1,HAL,0.25
cmake,sexpression,small,1,HAL,0.5
lcc,tsv,small,1,HAL,0.75
csv,tsv,small,1,HAL,1.0
inf,brainfuck,small,2,MCC,0.001
quakemap,pdn,small,2,MCC,0.25
inf,quakemap,small,2,MCC,0.5
lcc,pdn,small,2,MCC,0.75
brainfuck,tsv,small,2,MCC,1.0
csv,brainfuck,small,2,HAL,0.001
url,tsv,small,2,HAL,0.25
cmake,lcc,small,2,HAL,0.5
pdn,sexpression,small,2,HAL,0.75
sexpression,tsv,small,2,HAL,1.0
cmake,quakemap,small,3,MCC,0.001
cmake,inf,small,3,MCC,0.25
pdn,tsv,small,3,MCC,0.5
quakemap,sexpression,small,3,MCC,0.75
inf,tsv,small,3,MCC,1.0
useragent,sexpression,small,3,HAL,0.001
brainfuck,pdn,small,3,HAL,0.25
cmake,pdn,small,3,HAL,0.5
useragent,properties,small,3,HAL,0.75
cmake,tsv,small,3,HAL,1.0
useragent,url,small,4,MCC,0.001
inf,pdn,small,4,MCC,0.25
useragent,lcc,small,4,MCC,0.5
inf,properties,small,4,MCC,0.75
lcc,csv,small,4,MCC,1.0
url,pdn,small,4,HAL,0.001
lcc,inf,small,4,HAL,0.25
inf,sexpression,small,4,HAL,0.5
csv,url,small,4,HAL,0.75
properties,tsv,small,4,HAL,1.0
python2,cto,medium,0,MCC,0.001
python2,flatbuffers,medium,0,MCC,0.25
fusion-tables,lua,medium,0,MCC,0.5
sgf,stacktrace,medium,0,MCC,0.75
lua,dart2,medium,0,MCC,1.0
romannumerals,fusion-tables,medium,0,HAL,0.001
fusion-tables,stacktrace,medium,0,HAL,0.25
stacktrace,flatbuffers,medium,0,HAL,0.5
fusion-tables,cto,medium,0,HAL,0.75
z-ops,cto,medium,0,HAL,1.0
romannumerals,stacktrace,medium,1,MCC,0.001
stacktrace,webidl,medium,1,MCC,0.25
cto,flatbuffers,medium,1,MCC,0.5
sgf,fusion-tables,medium,1,MCC,0.75
fusion-tables,webidl,medium,1,MCC,1.0
z-ops,lua,medium,1,HAL,0.001
python2,romannumerals,medium,1,HAL,0.25
romannumerals,webidl,medium,1,HAL,0.5
sgf,z-ops,medium,1,HAL,0.75
lua,flatbuffers,medium,1,HAL,1.0
sgf,pascal,medium,2,MCC,0.001
lua,webidl,medium,2,MCC,0.25
romannumerals,cto,medium,2,MCC,0.5
python2,sgf,medium,2,MCC,0.75
sgf,webidl,medium,2,MCC,1.0
z-ops,flatbuffers,medium,2,HAL,0.001
python2,z-ops,medium,2,HAL,0.25
python2,dart2,medium,2,HAL,0.5
sgf,lua,medium,2,HAL,0.75
dart2,pascal,medium,2,HAL,1.0
stacktrace,lua,medium,3,MCC,0.001
fusion-tables,flatbuffers,medium,3,MCC,0.25
sgf,flatbuffers,medium,3,MCC,0.5
python2,stacktrace,medium,3,MCC,0.75
romannumerals,z-ops,medium,3,MCC,1.0
sgf,dart2,medium,3,HAL,0.001
z-ops,dart2,medium,3,HAL,0.25
fusion-tables,z-ops,medium,3,HAL,0.5
z-ops,stacktrace,medium,3,HAL,0.75
fusion-tables,dart2,medium,3,HAL,1.0
z-ops,webidl,medium,4,MCC,0.001
webidl,dart2,medium,4,MCC,0.25
flatbuffers,webidl,medium,4,MCC,0.5
python2,webidl,medium,4,MCC,0.75
cto,webidl,medium,4,MCC,1.0
fusion-tables,pascal,medium,4,HAL,0.001
romannumerals,dart2,medium,4,HAL,0.25
romannumerals,lua,medium,4,HAL,0.5
sgf,romannumerals,medium,4,HAL,0.75
python2,lua,medium,4,HAL,1.0
informix,powerbuilder,large,0,MCC,0.001
fortran77,powerbuilder,large,0,MCC,0.25
fortran77,rexx,large,0,MCC,0.5
informix,sharc,large,0,MCC,0.75
swift2,objc-two-step,large,0,MCC,1.0
edif300,informix,large,0,HAL,0.001
kotlin,powerbuilder,large,0,HAL,0.25
fortran77,java9,large,0,HAL,0.5
swift2,rexx,large,0,HAL,0.75
fortran77,sharc,large,0,HAL,1.0
swift2,java9,large,1,MCC,0.001
java9,objc-two-step,large,1,MCC,0.25
java9,kotlin,large,1,MCC,0.5
cql3,sharc,large,1,MCC,0.75
java9,sharc,large,1,MCC,1.0
fortran77,edif300,large,1,HAL,0.001
informix,rexx,large,1,HAL,0.25
kotlin,idl,large,1,HAL,0.5
cql3,objc-two-step,large,1,HAL,0.75
kotlin,rexx,large,1,HAL,1.0
cql3,fortran77,large,2,MCC,0.001
cql3,rexx,large,2,MCC,0.25
swift2,idl,large,2,MCC,0.5
edif300,kotlin,large,2,MCC,0.75
rexx,objc-two-step,large,2,MCC,1.0
edif300,objc-two-step,large,2,HAL,0.001
