name,files,MCC,HAL,TERM,VAR,size
abnf,./abnf/Abnf.g4,53.0,3568.803449946184,29.0,24.0,medium
agc,./agc/agc.g4,250.0,12572.378555186855,203.0,37.0,medium
algol60,./algol60/algol60.g4,170.0,16619.48706581709,63.0,100.0,medium
antlr3,./antlr3/ANTLRv3.g4,160.0,17542.176071649385,99.0,104.0,medium
antlr4,"./antlr4/ANTLRv4Parser.g4,./antlr4/ANTLRv4Lexer.g4,./antlr4/LexBasic.g4",176.0,24895.87635313812,86.0,164.0,medium
apex,./apex/apex.g4,422.0,68499.85057588124,128.0,303.0,large
arithmetic,./arithmetic/arithmetic.g4,31.0,2167.725651212653,21.0,27.0,medium
asm6502,./asm6502/asm6502.g4,130.0,17032.142717539577,79.0,109.0,medium
asm8080,./asm8080/asm8080.g4,160.0,13209.20471534025,76.0,53.0,medium
asm8086,./asm8086/asm8086.g4,247.0,27389.87026177342,82.0,96.0,medium
asmMASM,./asmMASM/asmMASM.g4,261.0,30273.710873813285,80.0,108.0,medium
asmZ80,./asmZ80/asmZ80.g4,163.0,13263.343491854732,87.0,53.0,medium
asn_3gpp,./asn_3gpp/ASN_3gpp.g4,265.0,43312.489189340566,145.0,265.0,large
asn,./asn/ASN.g4,249.0,41978.21296068898,143.0,259.0,large
aspectj,"./aspectj/AspectJParser.g4,./aspectj/AspectJLexer.g4",365.0,32182.21191385751,133.0,130.0,medium
atl,./atl/ATL.g4,208.0,23535.270329120674,109.0,117.0,medium
basic,./basic/jvmBasic.g4,278.0,39323.05936689561,217.0,223.0,medium
b,./b/b.g4,75.0,6226.294685994752,51.0,35.0,medium
bnf,./bnf/bnf.g4,20.0,1306.5907867014446,18.0,25.0,medium
brainfuck,./brainfuck/brainfuck.g4,8.0,453.91128757139467,9.0,12.0,small
calculator,./calculator/calculator.g4,42.0,3749.488555338989,33.0,45.0,medium
capnproto,./capnproto/CapnProto.g4,101.0,9078.564783961276,45.0,45.0,medium
c,./c/C.g4,373.0,48507.577788421935,161.0,229.0,medium
clf,./clf/clf.g4,38.0,2305.5800440097296,18.0,19.0,small
clif,./clif/CLIF.g4,94.0,9068.01086866775,62.0,55.0,medium
clojure,./clojure/Clojure.g4,113.0,9567.429987994625,64.0,64.0,medium
clu,./clu/clu.g4,160.0,14627.994170511744,97.0,55.0,medium
cmake,./cmake/CMake.g4,73.0,2975.67259911302,23.0,18.0,small
cobol85,./cobol85/Cobol85.g4,1774.0,412914.66155826283,100.0,1190.0,large
cookie,./cookie/cookie.g4,25.0,1237.2277362390778,15.0,13.0,small
cool,./cool/COOL.g4,93.0,11759.261051009775,71.0,64.0,medium
cpp,./cpp/CPP14.g4,635.0,81316.13061715437,179.0,370.0,large
cql3,"./cql3/CqlParser.g4,./cql3/CqlLexer.g4",512.0,114934.54325815,215.0,491.0,large
creole,./creole/creole.g4,60.0,3050.376278630194,35.0,27.0,medium
csharp,"./csharp/CSharpParser.g4,./csharp/CSharpLexer.g4",642.0,80749.72120766017,180.0,368.0,large
css3,./css3/css3.g4,496.0,51387.677167508584,196.0,174.0,medium
csv,./csv/CSV.g4,14.0,618.1818181818181,5.0,6.0,small
cto,"./cto/CtoParser.g4,./cto/CtoLexer.g4",150.0,18338.1707972906,89.0,109.0,medium
dart2,./dart2/Dart2.g4,395.0,43478.29147260234,148.0,195.0,medium
databank,./databank/databank.g4,22.0,1617.4339113433127,16.0,14.0,small
dcm,./dcm/DCM_2_0_grammar.g4,128.0,11160.835052210801,61.0,53.0,medium
dice,"./dice/DiceNotation.g4,./dice/DiceNotationLexer.g4",18.0,1256.4156131695406,12.0,17.0,small
dot,./dot/DOT.g4,96.0,5826.606379758984,60.0,31.0,medium
ecmascript,./ecmascript/ECMAScript.g4,673.0,53653.916528722766,515.0,190.0,medium
edif300,./edif300/EDIF300.g4,1529.0,213552.20956381952,701.0,843.0,large
erlang,./erlang/Erlang.g4,196.0,23737.927635219454,81.0,110.0,medium
fasta,./fasta/fasta.g4,27.0,1260.4099704724906,23.0,13.0,small
fen,./fen/fen.g4,38.0,1110.8242235969533,27.0,13.0,small
flatbuffers,./flatbuffers/FlatBuffers.g4,82.0,6407.733439315475,60.0,33.0,medium
fol,./fol/fol.g4,27.0,1534.189198948102,22.0,22.0,medium
fortran77,"./fortran77/Fortran77Parser.g4,./fortran77/Fortran77Lexer.g4",406.0,59397.197330747695,219.0,322.0,large
fusion-tables,./fusion-tables/FusionTablesSql.g4,170.0,30236.518656339624,80.0,144.0,medium
gff3,./gff3/gff3.g4,26.0,1986.0730090953814,26.0,21.0,medium
gml,./gml/gml.g4,22.0,1553.3178736315008,14.0,16.0,small
golang,./golang/Golang.g4,556.0,40964.998182068615,374.0,139.0,medium
graphql,./graphql/GraphQL.g4,71.0,6234.627998759882,45.0,39.0,medium
graphstream-dgs,"./graphstream-dgs/DGSParser.g4,./graphstream-dgs/DGSLexer.g4",68.0,6146.845341311449,45.0,56.0,medium
gtin,./gtin/gtin.g4,42.0,3523.2361859667353,15.0,49.0,medium
guido,./guido/guido.g4,53.0,4725.009058118814,39.0,36.0,medium
html,"./html/HTMLParser.g4,./html/HTMLLexer.g4",48.0,3858.753178762198,21.0,28.0,medium
http,./http/http.g4,104.0,6141.566909029424,54.0,58.0,medium
hypertalk,./hypertalk/HyperTalk.g4,670.0,49250.60943717201,345.0,97.0,medium
icalendar,./icalendar/ICalendar.g4,584.0,124529.65401250645,103.0,449.0,large
icon,./icon/icon.g4,112.0,12633.294245235156,86.0,58.0,medium
idl,./idl/IDL.g4,259.0,41551.222880054265,151.0,247.0,large
inf,./inf/inf.g4,48.0,1678.905316497603,26.0,11.0,small
informix,./informix/informix.g4,814.0,185055.3524134666,86.0,567.0,large
iri,./iri/IRI.g4,230.0,15063.968448321819,107.0,105.0,medium
istc,./istc/istc.g4,7.0,495.75057559002096,8.0,8.0,small
java8,./java8/Java8.g4,605.0,80930.41480424677,145.0,389.0,large
java8-js,./java8-js/Java8.JavaScriptTarget.g4,601.0,80899.649267566,145.0,390.0,large
