name1,name2,size,repetition,dependent_variable,similarity_threshold,trivial-MCC,trivial-HAL,trivial-TERM,trivial-VAR,merged_file,full-MCC,full-HAL,full-TERM,full-VAR
cmake,properties,small,0,MCC,0.001,112.0,4733.727057029431,33.0,29.0,cmake+properties.g4,36.0,973.6264778122161,32.0,4.0
properties,brainfuck,small,0,MCC,0.25,47.0,2452.286756023944,26.0,23.0,properties+brainfuck.g4,29.0,869.3307410009307,25.0,6.0
cmake,url,small,0,MCC,0.5,111.0,6486.298225354433,35.0,39.0,cmake+url.g4,60.0,4624.632402104203,34.0,42.0
url,brainfuck,small,0,MCC,0.75,46.0,3150.330449172092,26.0,33.0,url+brainfuck.g4,38.0,2682.9648607041763,25.0,37.0
lcc,brainfuck,small,0,MCC,1.0,24.0,1834.3690238621318,15.0,24.0,lcc+brainfuck.g4,16.0,1138.0153133272672,11.0,18.0
useragent,inf,small,0,HAL,0.001,64.0,2799.5211221677637,28.0,20.0,useragent+inf.g4,28.0,757.7027856526008,25.0,4.0
csv,properties,small,0,HAL,0.25,53.0,2085.5151978368667,20.0,17.0,csv+properties.g4,23.0,639.3782046336613,20.0,4.0
properties,url,small,0,HAL,0.5,76.0,4274.48619335142,26.0,31.0,properties+url.g4,53.0,3492.4441117131296,26.0,32.0
useragent,brainfuck,small,0,HAL,0.75,24.0,1931.7988804408897,18.0,21.0,useragent+brainfuck.g4,14.0,1178.6487776818233,14.0,15.0
useragent,quakemap,small,0,HAL,1.0,45.0,2702.6782050312413,18.0,22.0,useragent+quakemap.g4,26.0,3377.200246981192,14.0,38.0
csv,pdn,small,1,MCC,0.001,47.0,2983.590232608675,23.0,25.0,csv+pdn.g4,21.0,673.0296890880645,18.0,6.0
properties,quakemap,small,1,MCC,0.25,68.0,3093.077045464128,24.0,24.0,properties+quakemap.g4,27.0,815.8002903376257,23.0,6.0
brainfuck,sexpression,small,1,MCC,0.5,39.0,2818.7204092229235,22.0,26.0,brainfuck+sexpression.g4,27.0,1520.0017964342185,18.0,17.0
cmake,brainfuck,small,1,MCC,0.75,82.0,4375.744988702776,29.0,31.0,cmake+brainfuck.g4,41.0,3284.1307025626147,28.0,36.0
inf,url,small,1,MCC,1.0,86.0,4824.924442608179,33.0,32.0,inf+url.g4,58.0,5831.1938137822635,30.0,56.0
